Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 30.12.2019 o godzinie 19:47:23:268.
Program zakonczyl dzialanie o 30.12.2019 o godzinie 19:47:23:287.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 18 milisekund, 933 mikrosekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku hamlet.txt znaleziono 31952 slow, w tym 4790 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie posortowany alfabetycznie
oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|barren________________________________________|1______________________________________|
|base__________________________________________|5______________________________________|
|baseness______________________________________|1______________________________________|
|baser_________________________________________|2______________________________________|
|basket________________________________________|2______________________________________|
|bastard_______________________________________|1______________________________________|
|bat___________________________________________|2______________________________________|
|bated_________________________________________|1______________________________________|
|battalions____________________________________|1______________________________________|
|batten________________________________________|1______________________________________|
|battery_______________________________________|1______________________________________|
|battlements___________________________________|1______________________________________|
|bawd__________________________________________|1______________________________________|
|bawdry________________________________________|1______________________________________|
|bawds_________________________________________|1______________________________________|
|bawdy_________________________________________|1______________________________________|
|be____________________________________________|223____________________________________|
|beam__________________________________________|1______________________________________|
|bear__________________________________________|15_____________________________________|
|beard_________________________________________|6______________________________________|
|beards________________________________________|1______________________________________|
|bearers_______________________________________|2______________________________________|
|bearing_______________________________________|1______________________________________|
|bears_________________________________________|2______________________________________|
|beart_________________________________________|1______________________________________|
|beast_________________________________________|6______________________________________|
|beasts________________________________________|2______________________________________|
|beat__________________________________________|1______________________________________|
|beaten________________________________________|1______________________________________|
|beating_______________________________________|3______________________________________|
|beats_________________________________________|1______________________________________|
|beauteous_____________________________________|1______________________________________|
|beautied______________________________________|1______________________________________|
|beauties______________________________________|1______________________________________|
|beautified____________________________________|2______________________________________|
|beauty________________________________________|6______________________________________|
|beaver________________________________________|1______________________________________|
|became________________________________________|1______________________________________|
|because_______________________________________|1______________________________________|
|beck__________________________________________|1______________________________________|
|beckons_______________________________________|3______________________________________|
|becomes_______________________________________|3______________________________________|
|bed___________________________________________|11_____________________________________|
|bedded________________________________________|1______________________________________|
|bedrid________________________________________|1______________________________________|
|beds__________________________________________|1______________________________________|
|bedtime_______________________________________|1______________________________________|
|been__________________________________________|28_____________________________________|
|beer__________________________________________|1______________________________________|
|beetles_______________________________________|1______________________________________|
|befalln_______________________________________|1______________________________________|
|befitted______________________________________|1______________________________________|
|before________________________________________|22_____________________________________|
|beg___________________________________________|7______________________________________|
|beget_________________________________________|1______________________________________|
|beggar________________________________________|3______________________________________|
|beggard_______________________________________|1______________________________________|
|beggars_______________________________________|2______________________________________|
|begin_________________________________________|6______________________________________|
|begins________________________________________|2______________________________________|
|beguile_______________________________________|2______________________________________|
|begun_________________________________________|4______________________________________|
|behavd________________________________________|1______________________________________|
|behaviour_____________________________________|2______________________________________|
|behind________________________________________|9______________________________________|
|behold________________________________________|1______________________________________|
|behooves______________________________________|1______________________________________|
|behove________________________________________|1______________________________________|
|being_________________________________________|12_____________________________________|
|belief________________________________________|1______________________________________|
|believd_______________________________________|1______________________________________|
|believe_______________________________________|19_____________________________________|
|belike________________________________________|2______________________________________|
|bell__________________________________________|2______________________________________|
|bellow________________________________________|1______________________________________|
|bellowed______________________________________|1______________________________________|
|bells_________________________________________|1______________________________________|
|belovd________________________________________|1______________________________________|
|below_________________________________________|3______________________________________|
|bend__________________________________________|3______________________________________|
|bended________________________________________|1______________________________________|
|beneath_______________________________________|4______________________________________|
|benefit_______________________________________|1______________________________________|
|benetted______________________________________|1______________________________________|
|bent__________________________________________|3______________________________________|
|ber___________________________________________|20_____________________________________|
|berattle______________________________________|1______________________________________|
|bernardo______________________________________|9______________________________________|
|beseech_______________________________________|7______________________________________|
|beseechd______________________________________|1______________________________________|
|beshrew_______________________________________|1______________________________________|
|besides_______________________________________|1______________________________________|
|besmirch______________________________________|1______________________________________|
|bespeak_______________________________________|1______________________________________|
|best__________________________________________|11_____________________________________|
|bestial_______________________________________|1______________________________________|
|bestow________________________________________|4______________________________________|
|bestowd_______________________________________|2______________________________________|
|bet___________________________________________|1______________________________________|
|beteem________________________________________|1______________________________________|
|bethought_____________________________________|1______________________________________|
|betimes_______________________________________|1______________________________________|
|betoken_______________________________________|1______________________________________|
|better________________________________________|15_____________________________________|
|betterd_______________________________________|1______________________________________|
|between_______________________________________|15_____________________________________|
|bevy__________________________________________|1______________________________________|
|beware________________________________________|2______________________________________|
|bewept________________________________________|1______________________________________|
|beyond________________________________________|2______________________________________|
|bias__________________________________________|1______________________________________|
|bid___________________________________________|6______________________________________|
|bier__________________________________________|1______________________________________|
|bilboes_______________________________________|1______________________________________|
|bird__________________________________________|2______________________________________|
|birds_________________________________________|1______________________________________|
|birth_________________________________________|4______________________________________|
|bisson________________________________________|1______________________________________|
|bites_________________________________________|1______________________________________|
|bitter________________________________________|3______________________________________|
|black_________________________________________|8______________________________________|
|blackest______________________________________|1______________________________________|
|blame_________________________________________|3______________________________________|
|blank_________________________________________|2______________________________________|
|blanket_______________________________________|1______________________________________|
|blanks________________________________________|1______________________________________|
|blast_________________________________________|2______________________________________|
|blasted_______________________________________|2______________________________________|
|blasting______________________________________|1______________________________________|
|blastments____________________________________|1______________________________________|
|blasts________________________________________|1______________________________________|
|blaze_________________________________________|1______________________________________|
|blazes________________________________________|1______________________________________|
|blazon________________________________________|1______________________________________|
|bleed_________________________________________|2______________________________________|
|bleeding______________________________________|1______________________________________|
|blench________________________________________|1______________________________________|
|bless_________________________________________|3______________________________________|
|blessing______________________________________|5______________________________________|
|blest_________________________________________|2______________________________________|
|blister_______________________________________|1______________________________________|
|bloat_________________________________________|1______________________________________|
|blood_________________________________________|19_____________________________________|
|bloodily______________________________________|1______________________________________|
|bloody________________________________________|7______________________________________|
|blossoms______________________________________|1______________________________________|
|blow__________________________________________|3______________________________________|
|blown_________________________________________|2______________________________________|
|blows_________________________________________|2______________________________________|
|blue__________________________________________|1______________________________________|
|blunted_______________________________________|1______________________________________|
|blurs_________________________________________|1______________________________________|
|blush_________________________________________|2______________________________________|
|board_________________________________________|1______________________________________|
|boarded_______________________________________|1______________________________________|
|bodes_________________________________________|1______________________________________|
|bodies________________________________________|5______________________________________|
|bodiless______________________________________|1______________________________________|
|bodkin________________________________________|1______________________________________|
|body__________________________________________|17_____________________________________|
|bodykins______________________________________|1______________________________________|
|boistrous_____________________________________|1______________________________________|
|bold__________________________________________|3______________________________________|
|bones_________________________________________|4______________________________________|
|bonnet________________________________________|1______________________________________|
|bonny_________________________________________|1______________________________________|
|book__________________________________________|4______________________________________|
|books_________________________________________|1______________________________________|
|bore__________________________________________|4______________________________________|
|born__________________________________________|3______________________________________|
|borne_________________________________________|3______________________________________|
|borrowed______________________________________|1______________________________________|
|borrower______________________________________|1______________________________________|
|borrowing_____________________________________|1______________________________________|
|bosom_________________________________________|4______________________________________|
|botch_________________________________________|1______________________________________|
|both__________________________________________|35_____________________________________|
|boughs________________________________________|1______________________________________|
|bought________________________________________|1______________________________________|
|bound_________________________________________|5______________________________________|
|bounded_______________________________________|1______________________________________|
|bounds________________________________________|1______________________________________|
|bounteous_____________________________________|1______________________________________|
|bounty________________________________________|1______________________________________|
|bourn_________________________________________|1______________________________________|
|bout__________________________________________|1______________________________________|
|bouts_________________________________________|1______________________________________|
|bow___________________________________________|3______________________________________|
|bowl__________________________________________|1______________________________________|
|box___________________________________________|1______________________________________|
|boy___________________________________________|3______________________________________|
|boys__________________________________________|1______________________________________|
|brain_________________________________________|6______________________________________|
|brainish______________________________________|1______________________________________|
|brains________________________________________|5______________________________________|
|branchesit____________________________________|1______________________________________|
|brands________________________________________|1______________________________________|
|brave_________________________________________|3______________________________________|
|bravery_______________________________________|1______________________________________|
|bray__________________________________________|1______________________________________|
|brazd_________________________________________|1______________________________________|
|brazen________________________________________|1______________________________________|
|breach________________________________________|1______________________________________|
|bread_________________________________________|1______________________________________|
|breadth_______________________________________|1______________________________________|
|break_________________________________________|8______________________________________|
|breaking______________________________________|1______________________________________|
|breaks________________________________________|2______________________________________|
|breast________________________________________|1______________________________________|
|breath________________________________________|9______________________________________|
