Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:41:58:337.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:41:58:513.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 176 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku faraon.txt znaleziono 203222 slow, w tym  30342 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|arcykap~~anem~~~______________________________|2______________________________________|
|arcykap~~ani__________________________________|53_____________________________________|
|arcykap~~anie_________________________________|2______________________________________|
|arcykap~~ank~~________________________________|3______________________________________|
|arcykap~~anowi________________________________|2______________________________________|
|arcykap~~an~~w________________________________|13_____________________________________|
|arcykap~~an~~w~~~_____________________________|5______________________________________|
|arcykap~~a~~skich_____________________________|5______________________________________|
|arcykap~~a~~skie______________________________|1______________________________________|
|arcykap~~a~~skiego____________________________|1______________________________________|
|arcykap~~a~~skimi_____________________________|1______________________________________|
|arcykap~~a~~stwa______________________________|1______________________________________|
|arenie________________________________________|4______________________________________|
|areny_________________________________________|2______________________________________|
|areny~~~______________________________________|1______________________________________|
|aren~~________________________________________|7______________________________________|
|arf___________________________________________|5______________________________________|
|arfa__________________________________________|6______________________________________|
|arfami________________________________________|1______________________________________|
|arfie_________________________________________|1______________________________________|
|arfy__________________________________________|3______________________________________|
|arf~~_________________________________________|2______________________________________|
|arf~~~~~______________________________________|1______________________________________|
|armia_________________________________________|23_____________________________________|
|armia~~~______________________________________|3______________________________________|
|armie_________________________________________|5______________________________________|
|armii_________________________________________|46_____________________________________|
|armi~~________________________________________|31_____________________________________|
|armi~~~~~_____________________________________|4______________________________________|
|arteri~~______________________________________|1______________________________________|
|artysta_______________________________________|1______________________________________|
|arty~~cirzemie~~lnicy_________________________|1______________________________________|
|arystokracja__________________________________|15_____________________________________|
|arystokracji__________________________________|6______________________________________|
|arystokracj~~_________________________________|3______________________________________|
|arystokracj~~~~~______________________________|1______________________________________|
|arystokratyczn~~______________________________|2______________________________________|
|arytmetyczne__________________________________|1______________________________________|
|asarhadon_____________________________________|12_____________________________________|
|asarhadona____________________________________|5______________________________________|
|asarhadona~~~_________________________________|1______________________________________|
|asarhadonie___________________________________|3______________________________________|
|asceta________________________________________|1______________________________________|
|ascety________________________________________|1______________________________________|
|ascetycznego__________________________________|1______________________________________|
|ascetycznej___________________________________|1______________________________________|
|ascet~~_______________________________________|1______________________________________|
|assar_________________________________________|9______________________________________|
|assara________________________________________|25_____________________________________|
|assara~~~_____________________________________|6______________________________________|
|assarowi______________________________________|2______________________________________|
|assar~~~______________________________________|1______________________________________|
|astarty_______________________________________|5______________________________________|
|astarty~~~____________________________________|1______________________________________|
|astoreth______________________________________|49_____________________________________|
|astoreth~~~___________________________________|15_____________________________________|
|astrolog______________________________________|2______________________________________|
|astrologiem___________________________________|1______________________________________|
|astrologowie__________________________________|3______________________________________|
|astrolog~~w___________________________________|3______________________________________|
|astronomicznych_______________________________|2______________________________________|
|astronomii____________________________________|4______________________________________|
|asyria________________________________________|30_____________________________________|
|asyrii________________________________________|25_____________________________________|
|asyrii~~~_____________________________________|4______________________________________|
|asyri~~_______________________________________|37_____________________________________|
|asyri~~~~~____________________________________|7______________________________________|
|asyri~~~~~~~~_________________________________|2______________________________________|
|asyryjczycy___________________________________|18_____________________________________|
|asyryjczycy~~~________________________________|4______________________________________|
|asyryjczyk____________________________________|9______________________________________|
|asyryjczyka___________________________________|4______________________________________|
|asyryjczykach_________________________________|2______________________________________|
|asyryjczykami_________________________________|3______________________________________|
|asyryjczykami~~~______________________________|1______________________________________|
|asyryjczykom__________________________________|5______________________________________|
|asyryjczykom~~~_______________________________|1______________________________________|
|asyryjczykowie________________________________|1______________________________________|
|asyryjczykowi~~~______________________________|1______________________________________|
|asyryjczyku___________________________________|1______________________________________|
|asyryjczyk~~w_________________________________|22_____________________________________|
|asyryjczyk~~w~~~______________________________|1______________________________________|
|asyryjscy_____________________________________|8______________________________________|
|asyryjscy~~~__________________________________|1______________________________________|
|asyryjska_____________________________________|2______________________________________|
|asyryjski_____________________________________|13_____________________________________|
|asyryjskich___________________________________|15_____________________________________|
|asyryjskie____________________________________|10_____________________________________|
|asyryjskiego__________________________________|7______________________________________|
|asyryjskiej___________________________________|1______________________________________|
|asyryjskim____________________________________|4______________________________________|
|asyryjsku_____________________________________|1______________________________________|
|asyryjsk~~____________________________________|2______________________________________|
|asystencji____________________________________|1______________________________________|
|asystent~~w___________________________________|1______________________________________|
|asystowania___________________________________|1______________________________________|
|asystowa~~____________________________________|1______________________________________|
|asystuj~~cy___________________________________|1______________________________________|
|asystuj~~cych_________________________________|3______________________________________|
|atak__________________________________________|5______________________________________|
|ataki_________________________________________|1______________________________________|
|ataku_________________________________________|8______________________________________|
|atakuj~~______________________________________|1______________________________________|
|athribis______________________________________|1______________________________________|
|atleci________________________________________|1______________________________________|
|atribis_______________________________________|7______________________________________|
|atum__________________________________________|2______________________________________|
|audiencja_____________________________________|1______________________________________|
|audiencji_____________________________________|2______________________________________|
|audiencjonalna________________________________|1______________________________________|
|audiencjonalnej_______________________________|3______________________________________|
|audiencjonaln~~_______________________________|1______________________________________|
|automaty______________________________________|1______________________________________|
|autorowie_____________________________________|1______________________________________|
|awans_________________________________________|1______________________________________|
|awansu________________________________________|1______________________________________|
|awansuj~~_____________________________________|1______________________________________|
|awantura______________________________________|1______________________________________|
|awanturnicy___________________________________|1______________________________________|
|awanturnik____________________________________|1______________________________________|
|awanturnik~~w_________________________________|2______________________________________|
|awantury______________________________________|1______________________________________|
|awanturze_____________________________________|1______________________________________|
|awantur~~_____________________________________|1______________________________________|
|aye___________________________________________|5______________________________________|
|azali_________________________________________|1______________________________________|
|azali~~_______________________________________|1______________________________________|
|azariasz______________________________________|3______________________________________|
|azariasza~~~__________________________________|1______________________________________|
|azja__________________________________________|1______________________________________|
|azjaci________________________________________|25_____________________________________|
|azjaci~~~_____________________________________|1______________________________________|
|azjata________________________________________|3______________________________________|
|azjatami______________________________________|3______________________________________|
|azjatami~~~~~~________________________________|1______________________________________|
|azjatom_______________________________________|1______________________________________|
|azjatyccy_____________________________________|2______________________________________|
|azjatycka_____________________________________|1______________________________________|
|azjatycki_____________________________________|1______________________________________|
|azjatyckich___________________________________|9______________________________________|
|azjatyckie____________________________________|4______________________________________|
|azjatyckiego__________________________________|1______________________________________|
|azjatyckiej___________________________________|1______________________________________|
|azjatyckimi___________________________________|1______________________________________|
|azjat~~w______________________________________|11_____________________________________|
|azjat~~w~~~___________________________________|1______________________________________|
|azji__________________________________________|8______________________________________|
|azj~~_________________________________________|7______________________________________|
|azj~~~~~______________________________________|1______________________________________|
|a~~___________________________________________|64_____________________________________|
|a~~by_________________________________________|1______________________________________|
|a~~eby________________________________________|320____________________________________|
|a~~ebym_______________________________________|24_____________________________________|
|a~~eby~~______________________________________|37_____________________________________|
|a~~eby~~cie___________________________________|4______________________________________|
|a~~eby~~my____________________________________|7______________________________________|
|a~~unem_______________________________________|1______________________________________|
|a~~~__________________________________________|8______________________________________|
|b_____________________________________________|1______________________________________|
|ba____________________________________________|4______________________________________|
|baal__________________________________________|2______________________________________|
|baala_________________________________________|3______________________________________|
|baalem________________________________________|1______________________________________|
|baaleth~~~____________________________________|1______________________________________|
|baba__________________________________________|2______________________________________|
|babelu________________________________________|5______________________________________|
|babelu~~~_____________________________________|1______________________________________|
|babie_________________________________________|1______________________________________|
|babilon_______________________________________|3______________________________________|
|babilonie_____________________________________|4______________________________________|
|babilonu______________________________________|10_____________________________________|
|babilonu~~~___________________________________|3______________________________________|
|babilon~~~____________________________________|1______________________________________|
|babilo~~ski___________________________________|2______________________________________|
|babilo~~skie__________________________________|1______________________________________|
|babilo~~skiego________________________________|1______________________________________|
|babilo~~skiej_________________________________|2______________________________________|
|babki_________________________________________|1______________________________________|
|baby__________________________________________|4______________________________________|
|baby~~~_______________________________________|1______________________________________|
|bachorach~~~__________________________________|1______________________________________|
|baczcie_______________________________________|1______________________________________|
|baczniejsz~~__________________________________|1______________________________________|
|bacznym_______________________________________|1______________________________________|
