Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:44:22:776.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:44:22:846.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 70 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku pan-tadeusz.txt znaleziono 69053 slow, w tym  18795 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|barona________________________________________|1______________________________________|
|baronem_______________________________________|1______________________________________|
|barski________________________________________|1______________________________________|
|barszcz_______________________________________|1______________________________________|
|bartek________________________________________|4______________________________________|
|bartka________________________________________|2______________________________________|
|bartku________________________________________|1______________________________________|
|bartk~~w______________________________________|1______________________________________|
|bartochowski__________________________________|1______________________________________|
|bart~~omieja__________________________________|2______________________________________|
|bart~~omiejem_________________________________|1______________________________________|
|bart~~omiej~~w________________________________|1______________________________________|
|barw__________________________________________|2______________________________________|
|barwa_________________________________________|1______________________________________|
|barwie________________________________________|1______________________________________|
|barwiste______________________________________|1______________________________________|
|barwistego____________________________________|1______________________________________|
|barwy_________________________________________|5______________________________________|
|barw~~________________________________________|3______________________________________|
|basem_________________________________________|1______________________________________|
|basetla_______________________________________|1______________________________________|
|basetl~~______________________________________|1______________________________________|
|basta_________________________________________|2______________________________________|
|bas~~w________________________________________|1______________________________________|
|batalijon_____________________________________|2______________________________________|
|batalijonem~~_________________________________|1______________________________________|
|batalijonu____________________________________|2______________________________________|
|batystow~~____________________________________|2______________________________________|
|baublis_______________________________________|1______________________________________|
|bawi__________________________________________|3______________________________________|
|bawiono_______________________________________|1______________________________________|
|bawi~~________________________________________|14_____________________________________|
|bawi~~c_______________________________________|1______________________________________|
|bawi~~ce______________________________________|1______________________________________|
|bawi~~c~~_____________________________________|1______________________________________|
|bawi~~em______________________________________|2______________________________________|
|bawi~~y_______________________________________|1______________________________________|
|bawoli________________________________________|1______________________________________|
|bazyliszek____________________________________|1______________________________________|
|ba~~abajce____________________________________|1______________________________________|
|ba~~abanowskiej_______________________________|2______________________________________|
|ba~~aban~~wka~~~______________________________|1______________________________________|
|ba~~amut______________________________________|1______________________________________|
|ba~~ni________________________________________|1______________________________________|
|beczek________________________________________|3______________________________________|
|beczenie______________________________________|1______________________________________|
|beczki________________________________________|2______________________________________|
|beczk~~_______________________________________|2______________________________________|
|beczy_________________________________________|2______________________________________|
|becz~~c_______________________________________|1______________________________________|
|bekaj~~c______________________________________|1______________________________________|
|bekasy________________________________________|1______________________________________|
|belce_________________________________________|2______________________________________|
|belek_________________________________________|2______________________________________|
|beletrysta____________________________________|1______________________________________|
|belki_________________________________________|2______________________________________|
|belk~~________________________________________|1______________________________________|
|bellony_______________________________________|1______________________________________|
|belzebuba_____________________________________|1______________________________________|
|benedykty_____________________________________|1______________________________________|
|berdysz_______________________________________|1______________________________________|
|bernardyn_____________________________________|17_____________________________________|
|bernardyna____________________________________|12_____________________________________|
|bernardynem___________________________________|3______________________________________|
