Raport z dzialanosci programu:
Program rozpoczal swe dzialanie 26.12.2019 o godzinie 15:49:19:29.
Program zakonczyl dzialanie o 26.12.2019 o godzinie 15:49:19:154.
Program dzialal przez 0 godzin, 0 minut, 0 sekund, 125 milisekund.

Wybrano kontener map z biblioteki STL 
jako strukture do przechowywania danych.

W pliku ziemia-obiecana.txt znaleziono 179358 slow, w tym  28742 roznych slow.

Ponizej znajduje sie wykaz slow uzytych w wczytanym tekscie oraz ilosc wystapien danego slowa w tym pliku:

 ______________________________________________________________________________________ 
|slowa, ktore znajduja sie we wczytanym tekscie|liczba wystapien danego slowa w tekscie|
|amork~~w______________________________________|1______________________________________|
|amor~~w_______________________________________|1______________________________________|
|amzelowa______________________________________|1______________________________________|
|ananasami_____________________________________|1______________________________________|
|anatomicznych_________________________________|1______________________________________|
|ance__________________________________________|13_____________________________________|
|anegdoty______________________________________|1______________________________________|
|anemicznie____________________________________|1______________________________________|
|anemicznych___________________________________|2______________________________________|
|anemicznym____________________________________|1______________________________________|
|anewryzm______________________________________|1______________________________________|
|anga~~owany___________________________________|1______________________________________|
|angielski_____________________________________|2______________________________________|
|angielskich___________________________________|1______________________________________|
|angielskim____________________________________|1______________________________________|
|angielsku_____________________________________|1______________________________________|
|angielsk~~____________________________________|1______________________________________|
|anglii________________________________________|2______________________________________|
|anglik________________________________________|4______________________________________|
|anglika_______________________________________|3______________________________________|
|ani___________________________________________|159____________________________________|
|anilinowej____________________________________|1______________________________________|
|animuszu______________________________________|1______________________________________|
|anio~~________________________________________|6______________________________________|
|anio~~ach_____________________________________|1______________________________________|
|anio~~ami_____________________________________|1______________________________________|
|anio~~a~~~____________________________________|1______________________________________|
|anio~~y_______________________________________|1______________________________________|
|anio~~~~w_____________________________________|1______________________________________|
|anka__________________________________________|151____________________________________|
|anka~~~_______________________________________|1______________________________________|
|anki__________________________________________|32_____________________________________|
|anko__________________________________________|4______________________________________|
|ank~~_________________________________________|45_____________________________________|
|anna__________________________________________|3______________________________________|
|annie_________________________________________|1______________________________________|
|anno__________________________________________|3______________________________________|
|ano___________________________________________|1______________________________________|
|anonimowym____________________________________|1______________________________________|
|antaby________________________________________|1______________________________________|
|antagonizmy___________________________________|1______________________________________|
|antagonizm~~w_________________________________|1______________________________________|
|anta~~k~~w____________________________________|1______________________________________|
|antce_________________________________________|1______________________________________|
|antek_________________________________________|1______________________________________|
|antka_________________________________________|2______________________________________|
|antkowi_______________________________________|2______________________________________|
|antoni________________________________________|5______________________________________|
|antonina______________________________________|1______________________________________|
|antosia_______________________________________|2______________________________________|
|antosiow~~____________________________________|1______________________________________|
|anto~~________________________________________|12_____________________________________|
|antrakcie_____________________________________|3______________________________________|
|antyczn~~_____________________________________|2______________________________________|
|antysemickie__________________________________|1______________________________________|
|anula_________________________________________|1______________________________________|
|anusia________________________________________|1______________________________________|
|anusiu________________________________________|2______________________________________|
|apatia________________________________________|4______________________________________|
|apatii________________________________________|3______________________________________|
|apatyczne_____________________________________|1______________________________________|
|apatycznie____________________________________|5______________________________________|
|apatyczny_____________________________________|1______________________________________|
|apatycznym____________________________________|1______________________________________|
|apel__________________________________________|1______________________________________|
|apetyt________________________________________|3______________________________________|
|apetytu_______________________________________|3______________________________________|
|apostolstwa___________________________________|1______________________________________|
|apretur_______________________________________|1______________________________________|
|apretury______________________________________|5______________________________________|
|apreturze_____________________________________|1______________________________________|
|apretur~~_____________________________________|2______________________________________|
|apteczne______________________________________|1______________________________________|
|apteki________________________________________|1______________________________________|
|aptek~~_______________________________________|1______________________________________|
|archeologia___________________________________|1______________________________________|
|archeologicznej_______________________________|1______________________________________|
|architektur~~_________________________________|1______________________________________|
|arcydzie~~a___________________________________|2______________________________________|
|arcydzie~~o___________________________________|2______________________________________|
|arcyfio~~_____________________________________|3______________________________________|
|aresztowali___________________________________|2______________________________________|
|aresztowano___________________________________|1______________________________________|
|aresztowany___________________________________|1______________________________________|
|aresztowa~~___________________________________|1______________________________________|
